1155,807,717,828,1044,1080,1113,1029,807,516,207,105,42,27,21
26559,3903,1722,1491,1539,1428,1215,1233,1179,1167,486,339,210,150,144
48600,12834,4356,3393,3204,2796,2559,2631,2433,2631,990,777,696,474,486
15144,18444,9393,7944,7872,7419,6873,7632,8310,12402,13152,11352,7389,3531,1926
7884,13119,8499,8037,8622,8361,7548,7467,7107,8862,16776,19113,14250,7824,4521
6777,12453,8175,7329,7617,7584,6780,6816,5841,5949,6780,6636,5088,3033,1764
3948,14043,10647,9330,9435,9135,8388,8052,6864,5946,4365,3651,2841,1602,915
1737,12747,14874,13569,13197,12261,11016,10896,8631,6717,3687,2718,1968,1116,648
723,11253,22641,24900,24606,22767,19308,17529,13032,9096,4254,2760,1899,990,648
156,3387,12297,16950,17907,17112,14922,13128,8187,5409,2211,1251,762,372,261
102,1371,7689,14682,18639,18636,16524,15249,9870,5424,1950,1065,717,288,213
63,336,2613,6264,8658,8937,8424,7731,4938,2595,891,480,249,117,87
219,354,1359,4338,7803,9456,8889,8301,5043,2616,978,513,249,114,81
21885,13743,13023,13146,12537,11529,9960,9261,7314,6507,5751,5385,4380,3165,2802
894,582,582,876,1020,930,771,720,516,312,114,75,42,48,69
25620,4302,5700,9357,9144,6333,4371,4368,3831,2928,615,468,351,315,426
51690,16155,9705,14196,14658,10707,7677,7776,6840,6105,1374,1104,1092,1041,1443
14508,20592,12072,14385,15912,14580,12456,13725,15555,20283,15180,12180,8514,4866,3909
6357,16905,14709,17046,19638,18519,15210,14361,12756,14676,23265,25257,22053,14682,11676
4221,13098,12012,13443,16038,15882,12861,11307,8271,6480,7257,7470,7071,5391,4281
2226,11517,10758,10857,12813,13803,12225,10548,7032,4548,3348,3066,2766,2079,1710
861,10422,12510,11058,11577,12414,11583,10464,6822,3879,2298,1806,1500,1092,954
291,9864,20424,17889,16557,17289,16836,14889,9396,5127,2346,1491,1224,855,71
54,1572,8919,10284,9195,9768,10032,8496,4992,2430,1005,594,432,294,243
42,483,4527,7206,7611,7692,8046,7335,4128,1974,738,459,396,243,228
33,111,1158,2586,2610,2718,2292,2055,1155,606,255,204,165,114,87
45,75,408,1380,2052,2385,2043,1638,900,450,243,168,117,96,96
23487,15321,15402,16518,15951,14097,11862,11538,9891,8934,7389,7767,8049,7188,8292
