Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Form_DLY (Extended)
(Note that non standard row charges apply. For details search the help on "fdly").
Station,Day(Local_Date),GustDir(Deg),GustSpd(m/s),WindRun(Km),Rain(mm),Tmean(C),Tmax(C),Tmin(C),Tgmin(C),VapPress(hPa),ET05(C),ET10(C),ET20(C),ET50(C),ET100(C),Pmsl(hPa),Pstn(hPa),Sun(Hrs),Rad(MJ),SoilM(%)
4843,20090806:0000,67,7.7,225,0.0,3.6,10.9,-3.8,-6.6,7.7,4.1,4.6,-,-,-,1027.1,1022.4,-,9.22,-
4843,20090807:0000,62,10.3,281,0.0,6.1,14.2,-2.1,-4.4,8.4,5.4,5.0,-,-,-,1027.3,1022.7,-,10.02,-
4843,20090808:0000,80,9.8,385,0.0,7.9,12.6,3.2,0.6,9.7,6.9,6.6,-,-,-,1024.3,1019.7,-,9.80,-
4843,20090809:0000,54,7.7,239,0.1,6.5,14.0,-1.0,-3.2,8.7,6.2,6.1,-,-,-,1026.7,1022.0,-,9.15,-
4843,20090810:0000,72,11.3,316,0.1,7.5,12.4,2.6,-1.1,9.2,6.5,6.2,-,-,-,1027.4,1022.8,-,8.59,-
4843,20090811:0000,66,5.1,171,0.1,7.8,15.0,0.5,-1.8,9.1,6.1,6.0,-,-,-,1025.1,1020.4,-,6.47,-
4843,20090812:0000,213,8.8,259,0.1,7.1,11.6,2.6,-0.1,9.7,6.7,6.6,-,-,-,1024.5,1019.8,-,4.94,-
4843,20090813:0000,231,6.2,246,8.1,8.1,9.0,7.2,6.7,10.5,7.8,7.6,-,-,-,1027.2,1022.5,0.0,3.10,-
4843,20090814:0000,60,8.8,389,0.2,8.1,9.2,7.0,7.1,10.6,8.1,8.0,-,-,-,1020.3,1015.7,0.0,3.17,-
4843,20090815:0000,208,6.2,221,1.9,7.2,7.9,6.4,6.6,10.2,7.8,7.8,-,-,-,1008.1,1003.5,0.0,1.77,-
4843,20090816:0000,206,7.7,252,0.9,8.3,9.3,7.3,7.3,10.7,8.2,8.1,-,-,-,1006.5,1001.9,0.0,2.59,-
4843,20090817:0000,50,6.7,275,0.0,10.2,14.0,6.4,6.7,11.3,10.0,9.4,-,-,-,1007.8,1003.2,-,7.70,-
4843,20090818:0000,186,13.9,382,3.6,7.6,9.0,6.2,4.7,10.4,8.1,8.4,-,-,-,1008.1,1003.6,0.0,1.71,-
4843,20090819:0000,267,4.6,91,0.0,6.9,15.4,-1.6,-4.5,7.0,6.9,7.1,-,-,-,1018.3,1013.6,-,12.06,-
4843,20090820:0000,67,9.8,287,0.0,5.6,12.7,-1.6,-4.0,8.8,6.4,6.6,-,-,-,1019.1,1014.5,-,12.02,-
4843,20090821:0000,53,11.3,343,0.0,7.4,11.9,2.8,0.5,10.0,7.7,7.6,-,-,-,1020.5,1015.9,-,9.01,-
4843,20090822:0000,48,11.8,559,0.0,9.6,12.2,6.9,4.9,10.9,9.1,8.8,-,-,-,1016.1,1011.5,-,11.18,-
4843,20090823:0000,3,9.8,261,0.0,10.9,14.7,7.0,3.8,9.7,8.9,8.6,-,-,-,1012.0,1007.5,0.0,3.94,-
4843,20090824:0000,65,7.2,252,0.3,10.3,15.8,4.7,2.8,10.8,9.7,9.2,-,-,-,1014.7,1010.1,-,12.06,-
4843,20090825:0000,324,16.0,543,4.6,15.1,21.3,8.8,6.8,10.9,11.1,10.1,-,-,-,999.6,995.2,-,11.28,-
4843,20090826:0000,301,23.7,597,4.2,12.8,17.7,7.9,3.3,8.2,10.2,10.0,-,-,-,990.6,986.2,-,13.39,-
4843,20090827:0000,291,17.5,463,0.0,10.8,16.3,5.2,-1.6,7.1,8.7,8.8,-,-,-,995.9,991.4,-,11.59,-
4843,20090828:0000,287,21.1,549,0.0,11.6,19.1,4.1,-0.7,7.4,9.1,8.4,-,-,-,1002.8,998.4,-,13.22,-
4843,20090829:0000,327,13.9,318,0.0,12.3,19.3,5.3,0.7,7.4,9.5,9.1,-,-,-,1008.2,1003.7,-,12.51,-
4843,20090830:0000,7,16.0,460,0.0,12.8,18.4,7.2,3.2,8.3,9.7,9.2,-,-,-,993.2,988.8,-,8.80,-
4843,20090831:0000,181,17.0,422,12.1,10.6,16.6,4.5,0.2,8.5,9.4,9.5,-,-,-,989.7,985.2,-,12.05,-
4843,20090901:0000,301,22.1,655,0.0,11.0,16.7,5.2,0.0,7.1,8.3,8.3,-,-,-,999.9,995.4,-,14.39,-
4843,20090902:0000,293,14.9,430,0.0,9.1,15.8,2.3,-2.5,6.0,7.4,7.6,-,-,-,1009.6,1005.1,-,15.31,-
4843,20090903:0000,195,12.9,391,0.0,5.4,10.7,0.1,-3.5,6.3,6.0,6.6,-,-,-,1029.0,1024.4,-,14.64,-
4843,20090904:0000,64,11.3,335,0.0,3.4,10.7,-3.9,-7.1,6.6,5.1,5.6,-,-,-,1034.5,1029.8,-,15.39,-
4843,20090905:0000,186,6.2,150,0.0,5.3,13.9,-3.3,-6.7,6.8,6.1,6.3,-,-,-,1030.1,1025.3,-,15.60,-
4843,20090906:0000,65,9.8,286,0.0,4.7,12.4,-3.1,-5.6,7.4,6.2,6.3,-,-,-,1026.6,1021.9,-,15.31,-
4843,20090907:0000,71,7.2,277,0.0,7.2,12.4,1.9,-0.3,9.5,7.7,7.6,-,-,-,1023.9,1019.3,-,12.70,-
4843,20090908:0000,55,5.1,154,0.0,10.9,21.1,0.7,-2.2,8.2,10.0,9.2,-,-,-,1024.8,1020.2,-,15.55,-
4843,20090909:0000,70,5.7,103,0.0,8.0,19.5,-3.5,-6.9,6.1,7.7,7.8,-,-,-,1027.1,1022.4,-,14.39,-
4843,20090910:0000,75,6.7,154,0.0,5.6,13.9,-2.7,-5.8,8.6,7.3,7.3,-,-,-,1022.8,1018.2,-,7.94,-
4843,20090911:0000,305,9.3,303,0.0,14.2,20.2,8.2,3.2,10.5,11.8,10.6,-,-,-,1014.2,1009.7,-,13.87,-
4843,20090912:0000,69,7.7,198,0.0,12.0,19.4,4.5,1.1,9.9,11.2,10.7,-,-,-,1015.8,1011.3,-,14.60,-
4843,20090913:0000,56,9.3,258,0.0,11.7,20.1,3.2,-0.8,10.0,11.6,10.9,-,-,-,1019.3,1014.7,-,16.44,-
4843,20090914:0000,295,16.0,378,0.0,15.3,23.0,7.5,5.3,7.9,11.8,11.1,-,-,-,1012.3,1007.9,0.0,5.26,-
4843,20090915:0000,288,17.0,523,0.0,11.9,19.1,4.7,-0.2,8.0,11.9,11.5,-,-,-,1017.4,1012.8,-,15.53,-
4843,20090916:0000,192,7.2,205,0.0,9.4,17.1,1.6,-2.3,7.7,9.1,9.6,-,-,-,1015.7,1011.2,-,11.14,-
4843,20090917:0000,71,12.4,421,0.0,8.1,13.7,2.5,-1.9,9.0,10.1,9.9,-,-,-,1018.6,1014.0,-,17.24,-
4843,20090918:0000,329,20.1,506,0.4,12.9,19.8,5.9,3.2,9.3,11.6,11.0,-,-,-,1008.6,1004.1,-,8.22,-
4843,20090919:0000,69,9.3,338,1.1,9.7,13.5,5.9,3.0,9.0,10.7,10.8,-,-,-,1020.8,1016.2,-,15.16,-
4843,20090920:0000,72,14.9,583,0.0,9.1,13.6,4.6,1.9,9.7,10.0,9.9,-,-,-,1015.3,1010.8,-,18.46,-
4843,20090921:0000,78,7.7,176,0.0,10.3,19.4,1.1,-2.8,9.1,11.8,11.1,-,-,-,1005.1,1000.6,-,16.59,-
4843,20090922:0000,184,14.9,322,0.1,10.7,17.1,4.3,-0.5,9.5,10.9,11.1,-,-,-,1000.7,996.2,-,13.70,-
4843,20090923:0000,196,17.0,343,4.9,7.1,13.9,0.2,-2.8,8.2,8.5,9.3,-,-,-,1005.7,1001.1,-,12.62,-
4843,20090924:0000,64,10.3,265,1.8,5.4,8.3,2.4,-0.4,7.5,6.8,7.9,-,-,-,1013.0,1008.4,0.0,5.58,-
4843,20090925:0000,77,16.0,621,5.9,7.6,9.6,5.5,5.0,10.2,8.0,8.3,-,-,-,1007.2,1002.6,0.0,4.54,-
4843,20090926:0000,198,8.2,279,0.0,8.6,12.5,4.6,2.0,9.5,9.7,9.6,-,-,-,1005.1,1000.6,-,15.91,-
4843,20090927:0000,68,10.3,316,0.0,6.1,10.1,2.0,-0.7,9.5,8.7,9.0,-,-,-,1003.6,999.0,-,7.35,-
4843,20090928:0000,78,9.8,391,2.5,9.4,11.7,7.0,5.3,11.2,9.5,9.6,-,-,-,1000.0,995.5,0.0,4.25,-
4843,20090929:0000,77,8.8,281,0.0,9.5,14.1,4.8,1.0,11.2,11.0,10.6,-,-,-,999.4,994.9,-,14.62,-
4843,20090930:0000,196,11.8,488,0.0,11.2,13.6,8.8,8.4,11.5,11.1,11.0,-,-,-,1000.7,996.2,-,9.73,-
4843,20091001:0000,50,9.8,271,0.0,12.1,15.4,8.7,7.3,11.4,12.5,12.1,-,-,-,1002.5,998.0,-,14.42,-
4843,20091002:0000,328,14.4,400,0.0,13.7,21.7,5.7,3.0,10.5,12.9,12.4,-,-,-,995.5,991.1,-,18.76,-
